187.36,686.64,47.75
234.14,643.39,44.973
-54.322,682.37,-767.39
344.75,690.1,770.16
-7.5459,639.11,-770.16
103.06,685.82,-44.973
391.52,646.85,767.39
193.34,643.34,98.974
234.14,685.9,44.973
280.91,642.65,42.195
-7.5459,681.63,-770.16
391.52,689.36,767.39
39.23,638.37,-772.94
149.84,685.08,-47.75
438.3,646.11,764.61
240.12,642.6,96.197
-54.322,161.95,-767.39
-7.5459,118.69,-770.16
-296.01,157.67,-1582.5
103.06,165.4,-44.973
-249.23,114.42,-1585.3
-138.62,161.13,-860.11
149.84,122.15,-47.75
-48.343,118.64,-716.16
344.75,879.03,770.16
391.52,835.78,767.39
103.06,874.76,-44.973
502.13,882.49,1492.6
149.84,831.51,-47.75
260.45,878.21,677.44
548.91,839.24,1489.8
350.73,835.73,821.39
-7.5459,161.21,-770.16
39.23,117.96,-772.94
-249.23,156.93,-1585.3
149.84,164.66,-47.75
-202.45,113.68,-1588.1
-91.846,160.39,-862.89
196.61,121.41,-50.528
-1.5667,117.91,-718.94
103.06,354.34,-44.973
149.84,311.09,-47.75
-138.62,350.06,-860.11
260.45,357.79,677.44
-91.846,306.81,-862.89
18.762,353.52,-137.7
307.22,314.54,674.66
109.04,311.04,6.2506
391.52,878.29,767.39
438.3,835.04,764.61
149.84,874.02,-47.75
548.91,881.75,1489.8
196.61,830.77,-50.528
307.22,877.47,674.66
595.68,838.5,1487
397.5,834.99,818.61
193.34,448.04,98.974
240.12,404.79,96.197
-48.343,443.77,-716.16
350.73,451.5,821.39
-1.5667,400.52,-718.94
109.04,447.22,6.2506
397.5,408.25,818.61
199.32,404.74,150.2
140.59,687.38,50.528
187.36,644.13,47.75
-101.1,683.1,-764.61
297.97,690.84,772.94
-54.322,639.85,-767.39
56.286,686.56,-42.195
344.75,647.59,770.16
146.57,644.08,101.75
187.36,686.64,47.75
234.14,643.39,44.973
-54.322,682.37,-767.39
344.75,690.1,770.16
-7.5459,639.11,-770.16
103.06,685.82,-44.973
391.52,646.85,767.39
193.34,643.34,98.974
-101.1,162.69,-764.61
-54.322,119.43,-767.39
-342.78,158.41,-1579.7
56.286,166.14,-42.195
-296.01,115.16,-1582.5
-185.4,161.87,-857.33
103.06,122.89,-44.973
-95.119,119.38,-713.38
297.97,879.77,772.94
344.75,836.52,770.16
56.286,875.5,-42.195
455.35,883.23,1495.4
103.06,832.25,-44.973
213.67,878.95,680.22
502.13,839.98,1492.6
303.95,836.47,824.16
-54.322,161.95,-767.39
-7.5459,118.69,-770.16
-296.01,157.67,-1582.5
103.06,165.4,-44.973
-249.23,114.42,-1585.3
-138.62,161.13,-860.11
149.84,122.15,-47.75
-48.343,118.64,-716.16
56.286,355.08,-42.195
103.06,311.83,-44.973
-185.4,350.8,-857.33
213.67,358.53,680.22
-138.62,307.55,-860.11
-28.014,354.26,-134.92
260.45,315.28,677.44
62.265,311.78,9.0281
344.75,879.03,770.16
391.52,835.78,767.39
103.06,874.76,-44.973
502.13,882.49,1492.6
149.84,831.51,-47.75
260.45,878.21,677.44
548.91,839.24,1489.8
350.73,835.73,821.39
146.57,448.78,101.75
193.34,405.53,98.974
-95.119,444.51,-713.38
303.95,452.24,824.16
-48.343,401.26,-716.16
62.265,447.96,9.0281
350.73,408.99,821.39
152.54,405.48,152.98
-54.322,161.95,-767.39
-7.5459,118.69,-770.16
-296.01,157.67,-1582.5
103.06,165.4,-44.973
-249.23,114.42,-1585.3
-138.62,161.13,-860.11
149.84,122.15,-47.75
-48.343,118.64,-716.16
-7.5459,161.21,-770.16
39.23,117.96,-772.94
-249.23,156.93,-1585.3
149.84,164.66,-47.75
-202.45,113.68,-1588.1
-91.846,160.39,-862.89
196.61,121.41,-50.528
-1.5667,117.91,-718.94
-296.01,-362.75,-1582.5
-249.23,-406,-1585.3
-537.69,-367.02,-2397.7
-138.62,-359.29,-860.11
-490.91,-410.28,-2400.4
-380.31,-363.57,-1675.2
-91.846,-402.54,-862.89
-290.03,-406.05,-1531.3
103.06,354.34,-44.973
149.84,311.09,-47.75
-138.62,350.06,-860.11
260.45,357.79,677.44
-91.846,306.81,-862.89
18.762,353.52,-137.7
307.22,314.54,674.66
109.04,311.04,6.2506
-249.23,-363.49,-1585.3
-202.45,-406.74,-1588.1
-490.91,-367.76,-2400.4
-91.846,-360.03,-862.89
-444.14,-411.02,-2403.2
-333.53,-364.31,-1678
-45.07,-403.28,-865.66
-243.25,-406.79,-1534.1
-138.62,-170.36,-860.11
-91.846,-213.61,-862.89
-380.31,-174.63,-1675.2
18.762,-166.9,-137.7
-333.53,-217.88,-1678
-222.92,-171.18,-952.83
65.538,-210.15,-140.47
-132.64,-213.66,-808.89
149.84,353.6,-47.75
196.61,310.35,-50.528
-91.846,349.32,-862.89
307.22,357.05,674.66
-45.07,306.07,-865.66
65.538,352.78,-140.47
354,313.8,671.88
155.82,310.3,3.4732
-48.343,-76.652,-716.16
-1.5667,-119.9,-718.94
-290.03,-80.927,-1531.3
109.04,-73.196,6.2506
-243.25,-124.18,-1534.1
-132.64,-77.471,-808.89
155.82,-116.45,3.4732
-42.364,-119.95,-664.94
344.75,879.03,770.16
391.52,835.78,767.39
103.06,874.76,-44.973
502.13,882.49,1492.6
149.84,831.51,-47.75
260.45,878.21,677.44
548.91,839.24,1489.8
350.73,835.73,821.39
391.52,878.29,767.39
438.3,835.04,764.61
149.84,874.02,-47.75
548.91,881.75,1489.8
196.61,830.77,-50.528
307.22,877.47,674.66
595.68,838.5,1487
397.5,834.99,818.61
103.06,354.34,-44.973
